date,symbol,open,close,volume
2011-02-16,AAPL,51.5428581428,51.8757132857,120289400.0
2011-02-17,AAPL,51.0357131428,51.1857147142,132645800.0
2011-02-18,AAPL,51.2442855714,50.0800018571,204014300.0
2011-02-22,AAPL,48.8785705714,48.3728561428,218138900.0
2011-02-23,AAPL,48.3957138571,48.945713,167963600.0
2011-02-24,AAPL,49.1457138571,48.9828567142,124975200.0
2011-02-25,AAPL,49.3228568571,49.7371444285,95004700.0
2011-02-28,AAPL,50.1771431428,50.4585724285,100768500.0
2011-03-01,AAPL,50.7814292857,49.9014282857,114034200.0
2011-03-02,AAPL,49.9942855714,50.3028564285,150647700.0
2011-03-03,AAPL,51.0271415714,51.3657149999,125197100.0
2011-03-04,AAPL,51.4385719999,51.4285698571,113316700.0
2011-03-07,AAPL,51.6285705714,50.7657127142,136530800.0
2011-03-08,AAPL,50.7014274285,50.8228568571,89079200.0
2011-03-09,AAPL,50.6699981428,50.3528557142,113326500.0
2011-03-10,AAPL,49.8742867142,49.5242844285,126884800.0
2011-03-11,AAPL,49.332859,50.2842864285,117770100.0
2011-03-14,AAPL,50.4542847142,50.5085715714,108989300.0
2011-03-15,AAPL,48.8714294285,49.3471412857,180270300.0
2011-03-16,AAPL,48.8571434285,47.1442871428,290502800.0
2011-03-17,AAPL,48.1185722857,47.8057137142,164855600.0
2011-03-18,AAPL,48.1614304285,47.2385711428,188303500.0
2011-03-21,AAPL,47.9985732857,48.4714278571,102350500.0
2011-03-22,AAPL,48.9371414285,48.7428588571,81480700.0
2011-03-23,AAPL,48.4685707142,48.4557151428,93249100.0
2011-03-24,AAPL,48.8357124285,49.2814292857,101178000.0
2011-03-25,AAPL,49.7242851428,50.2200012857,112227500.0
2011-03-28,AAPL,50.4500007142,50.0628585714,77338800.0
2011-03-29,AAPL,49.6657142857,50.1371421428,88225200.0
2011-03-30,AAPL,50.0914268571,49.804287,82351500.0
2011-03-31,AAPL,49.4799995714,49.7871437142,68504800.0
2011-04-01,AAPL,50.1585731428,49.2228584285,104665400.0
2011-04-04,AAPL,49.1871414285,48.7414284285,115021200.0
2011-04-05,AAPL,48.1414298571,48.412857,120682800.0
2011-04-06,AAPL,48.7457161428,48.2914275714,100634800.0
2011-04-07,AAPL,48.2999992857,48.297142,93361800.0
2011-04-08,AAPL,48.5600014285,47.865715,94383800.0
2011-04-11,AAPL,47.7228584285,47.2571411428,99736700.0
2011-04-12,AAPL,47.2128562857,47.485714,106409800.0
2011-04-13,AAPL,47.8600005714,48.01857,86555000.0
2011-04-14,AAPL,47.8285712857,47.4885711428,75450200.0
2011-04-15,AAPL,47.6142845714,46.7799987142,113401400.0
2011-04-18,AAPL,46.5857124285,47.4071425714,152474700.0
2011-04-19,AAPL,47.5857124285,48.2657127142,104844600.0
2011-04-20,AAPL,49.0728568571,48.9157142857,175166600.0
